Ticari Isim,Etken Madde,Formulasyon
ACROPOL - PLUS CC (İMAL),%40 Metalik bakıra eşdeğer bakır oksiklorid + %6 Dimethomorp,WG (Suda Dağılabilen Granül)
ELACURE (İMAL),225 g/l Bromoxynil,EC (Emülsiye Olabilen Konsantre)
VELONTA ® TR (İTHAL),%10 Prohexadione Calcium,WG (Suda Dağılabilen Granül)
TAXUS (İMAL),"116,2 g/l Clethodim",EC (Emülsiye Olabilen Konsantre)
ORTTRI (İTHAL),25 mg Ipsenol + 15 mg Ipsdienol + 1280 mg Sinerjist mad./Dispenser + 3 Hunili tuzak,--- (-)
LANCELOT™ SUPER (İTHAL),%30 Aminopyralid + %15 Florasulam,WG (Suda Dağılabilen Granül)
KORFOSAT STAR (İMAL),441 g/l Glyphosate Potasyum Tuzu,SL (Suda Çözünen Konsantre)
ZİREX WG (İMAL),%76 Ziram,WG (Suda Dağılabilen Granül)
NEMATHORIN 150 EC (İTHAL),150 g/l Fosthiazate,EC (Emülsiye Olabilen Konsantre)
HILCOP WP (İMAL),%16 Metalik bakıra eşdeğer bakır kalsiyum oksiklorid,WP (Islanabilir Toz)
PYRİCOSE ® 300 SC (İMAL),300 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
STRATOS (İTHAL),100 g/l Cycloxydim,EC (Emülsiye Olabilen Konsantre)
MEDZOM (İMAL),330 g/l Pendimethalin,EC (Emülsiye Olabilen Konsantre)
NART 80 WP (İMAL),%80 Lenacil,WP (Islanabilir Toz)
DİPEL DF (İTHAL),32000 CLU/mg Bacillus thuringiensis subsp kurstaki ABTS-351 ırkı,WG (Suda Dağılabilen Granül)
FLORBAC WG (İTHAL),35000 DBM/mg Bacillus thuringiensis var. aizawai strain ABTS-1857,WG (Suda Dağılabilen Granül)
TİMOREX GOLD (İTHAL),"222,5 g/l Tea tree oil",EC (Emülsiye Olabilen Konsantre)
SARPA 70 WP (İMAL),%70 Thiophanate-methyl,WP (Islanabilir Toz)
NATIVO ® WG 75 (İTHAL),%50 Tebuconazole + %25 Trifloxystrobin,WG (Suda Dağılabilen Granül)
MARDE DF (İMAL),%70 Metiram,DF (Kuru Akışkan)
KORUMA CAPTAN 500 FL® (İMAL),500 g/l Captan,FL (Akıcı Konsantre/Süspansiyon Konsantre)
FLOBORDO WG (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Islanabilir Toz)
OWNER 550 SC (İMAL),"361,1 g/l Metalik bakıra eşdeğer bakır hidroksit",SC (Akıcı Konsantre/Süspansiyon Konsantre)
TATUN (İMAL),%75 Sulfosulfuron,WG (Suda Dağılabilen Granül)
SORİDES (İMAL),500 g/l Imazalil,EC (Emülsiye Olabilen Konsantre)
PESTİGE (İMAL),%25 Tebuconazole,WP (Islanabilir Toz)
OWNER 77 WP (İMAL),%50 Metalik bakıra eşdeğer bakır hidroksit,WP (Islanabilir Toz)
MASTERMEC EC (İMAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre)
BESTDODİNE 500 SC (İMAL),500 g/l Dodine,SC (Akıcı Konsantre/Süspansiyon Konsantre)
RHONTOX M FLUID (İMAL),400 g/l MCPA,SL (Suda Çözünen Konsantre)
FALGIB (İTHAL),10 g/l Gibberellin A4/A7,SL (Suda Çözünen Konsantre)
FİERO 77 WP (İMAL),%50 Metalik bakıra eşdeğer bakır hidroksit,WP (Islanabilir Toz)
TEBİCUR FS 060 (İMAL),60 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
ZUCRADUR 100 (İMAL),100 g/l Clopyralid,SL (Suda Çözünen Konsantre)
İNFİNİTYY (İMAL),50 g/l Etofenprox,EC (Emülsiye Olabilen Konsantre)
ERZEN 70 WP (İMAL),%70 Thiophanate-methyl,WP (Islanabilir Toz)
PENDALIN 75 WG (İMAL),%75 Halosulfuron-methyl,WG (Suda Dağılabilen Granül)
EFDAL FENOS 400 EC (İMAL),400 g/l Fenamiphos,EC (Emülsiye Olabilen Konsantre)
SUDOOR 400 SC (İMAL),400 g/l Buprofezin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MAGNESYA SC (İMAL),500 g/l Dodine,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PROPACUR'N (İMAL),722 g/l Propamocarb-hydrochloride,SL (Suda Çözünen Konsantre)
KORPHANATE 70 WP (İMAL),%70 Thiophanate-methyl,WP (Islanabilir Toz)
MELİNTOS (İMAL),300 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CUDDLE DF (İMAL),"%39,75 Metalik bakıra eşdeğer bakır oksiklorid + %4,2 Cymoxanil",DF (Kuru Akışkan)
ALCINE EXTRA (İMAL),450 g/l Pendimethalin,CS (Kapsül Süspansiyon)
QLURE-TUA (İTHAL),"0,5 mg. E3- Z8- Z11Tetradecatrienyl Acetate + 0,024 mg. E3-Z8 Tetradecadienyl Acetate /Dispenser + Delta Tuzak",--- (-)
REXON (İMAL),40 g/l Nicosulfuron,OD (Yağda Dağılabilen)
RESORT EXTRA (İMAL),450 g/l Pendimethalin,CS (Kapsül Süspansiyon)
MANİFESTO 24 EC (İMAL),240 g/l Oxyfluorfen,EC (Emülsiye Olabilen Konsantre)
MADBON-M 60 (İMAL),400 g/l Bentazone + 60 g/l MCPA,SL (Suda Çözünen Konsantre)
FİREWALL (İMAL),360 g/l Glyphosate asite eşdeğer Glyphosate Isopropylamin Tuzu + 30 g/l Oxyfluorfen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MAXT (İMAL),"452,42 g/l 2,4-D 2-Ethylhexyl ester + 6,25 g/l Florasulam",SE (Suspo-Emülsiyon)
PANAM EC 40 (İMAL),40 g/l Quizalofop-p-tefuryl,EC (Emülsiye Olabilen Konsantre)
FULL-TİME SÜPER (İMAL),75 g/l Fenoxaprop-p-ethyl + 30 g/l Fenchlorazole-ethyl (safener),"EW (Emülsiyon, Suda Yağ)"
MEGAMAX EXTRA CS (İMAL),50 g/l Lambda-cyhalothrin,CS (Kapsül Süspansiyon)
POTEGON 20 SP (İMAL),%20 Acetamiprid,SP (Suda Çözünen Toz)
COSSAPAM (İTHAL),500 g/l Metam Sodium,SL (Suda Çözünen Konsantre)
TRİPOWER 75 WG (İMAL),%75 Cyromazine,WG (Suda Dağılabilen Granül)
AGN-CAPTAN 500 SC (İMAL),500 g/l Captan,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TATUV (İMAL),%25 Rimsulfuron,SG (Suda Çözünen Granül)
SHOOT (İMAL),480 g/l Mesotrione,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SURRENDER 5 SG (İMAL),%5 Emamectin benzoate,SG (Suda Çözünen Granül)
EFDAL PEKOZOL® 100 EC (İMAL),100 g/l Penconazole,EC (Emülsiye Olabilen Konsantre)
LONTREL™ EXTRA (İTHAL),240 g/l Clopyralid + 80 g/l Picloram + 40 g/l Aminopyralid,SL (Suda Çözünen Konsantre)
POWERCOP (İMAL),"65,82 g/l Metalik bakıra eşdeğer bakır sülfat",SC (Akıcı Konsantre/Süspansiyon Konsantre)
TREND 20 EC (İMAL),200 g/l Cyhalofop-butyl,EC (Emülsiye Olabilen Konsantre)
REGALIA (İTHAL),"224,6 g/l Reynoutria spp. ekstraktı",SC (Akıcı Konsantre/Süspansiyon Konsantre)
AGRORA 600 (İMAL),600 g/l Aclonifen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AGREX (İMAL),25 g/l Sodium s-Naphthaline Acetate + 3 g/l Sodium Para Nitrophenolate + 2 g/l Sodium Ortho Nitrophenolate + 1 g/l Sodium Penta Nitroguaiacolate,SL (Suda Çözünen Konsantre)
NOMIUM (İMAL),%50 Azimsulfuron,WG (Suda Dağılabilen Granül)
AMASSIS 25 EC (İMAL),25 g/l Beta-cyfluthrin,EC (Emülsiye Olabilen Konsantre)
NOTCH SUPER (İMAL),150 g/l Teflubenzuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SCYLLA 225 EC (İMAL),225 g/l Bromoxynil,EC (Emülsiye Olabilen Konsantre)
TULPAR 70 WG (İMAL),%70 Metamitron,WG (Suda Dağılabilen Granül)
MİLLERA MH-30 (İMAL),188 g/l Maleic Hydrazide,SL (Suda Çözünen Konsantre)
FLUBALA 25 EC (İMAL),250 g/l Flurochloridone,EC (Emülsiye Olabilen Konsantre)
SANRON (İMAL),40 g/l Nicosulfuron,OD (Yağda Dağılabilen)
POLAREX DF (İMAL),%70 Metiram,DF (Kuru Akışkan)
AGROMAZINE 75 WG (İMAL),%75 Cyromazine,WG (Suda Dağılabilen Granül)
AEKİDO CAPSÜL (İMAL),50 g/l Lambda-cyhalothrin,CS (Kapsül Süspansiyon)
SCANN 80 WP (İMAL),%80 Fosetyl-Al,WP (Islanabilir Toz)
TEKVANDO CAPSÜL (İMAL),50 g/l Lambda-cyhalothrin,CS (Kapsül Süspansiyon)
TOPSET 080 EC (İMAL),80 g/l Clodinafop-propargyl + 20 g/l Cloquintocet-mexyl (Safener),EC (Emülsiye Olabilen Konsantre)
TYPY (İMAL),%25 Rimsulfuron,SG (Suda Çözünen Granül)
VOLITAN 12 EC (İMAL),125 g/l Myclobutanil,EC (Emülsiye Olabilen Konsantre)
SAFA BORDEAUX MIX JET 20 WG (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WG (Suda Dağılabilen Granül)
NOVAGIBB SL (İMAL),20 g/l Gibberellic acid,SL (Suda Çözünen Konsantre)
FİNALE (İMAL),480 g/l Ethephon + 60 g/l Cyclanilide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ZOMBIE SC (İMAL),110 g/l Etoxazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
DECTATORE® 250 SC (İMAL),250 g/l Flutriafol,SC (Akıcı Konsantre/Süspansiyon Konsantre)
"DEPRIVE EC 2,5 (İMAL)",25 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre)
DISMISS 48 SC (İMAL),480 g/l Diflubenzuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BERRLAN (İMAL),%50 Kresoxim-methyl,WG (Suda Dağılabilen Granül)
EFDAL HİMEKSOL 30 L (İMAL),360 g/l Hymexazole,SL (Suda Çözünen Konsantre)
FIERO LIQUID (İMAL),"361,1 g/l Metalik bakıra eşdeğer bakır hidroksit",SC (Akıcı Konsantre/Süspansiyon Konsantre)
ZİP-COPP 5 E (İMAL),"51,4 g/l Metalik Bakıra eşdeğer Yağ ve Rosin Asitlerinin Bakır Tuzları",EC (Emülsiye Olabilen Konsantre)
KAMBİT (İMAL),%50 Kresoxim-methyl,WG (Suda Dağılabilen Granül)
GENSİL FS 060 (İMAL),60 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
MACABRE 50 EC (İMAL),500 g/l Imazalil,EC (Emülsiye Olabilen Konsantre)
EFDAL FOSALİN 80 WP (İMAL),%80 Fosetyl-Al,WP (Islanabilir Toz)
POLYANNA DF (İMAL),%70 Metiram,DF (Kuru Akışkan)
KORZAMİDE 50 WP (İMAL),%50 Propyzamide,WP (Islanabilir Toz)
FHERUS (İMAL),%80 Fosetyl-Al,WP (Islanabilir Toz)
TAURICA 50 WG (İMAL),%50 Trifloxystrobin,WG (Suda Dağılabilen Granül)
KİLEX BORDEAUX WP (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Islanabilir Toz)
AMİD 330 EC (İMAL),330 g/l Pendimethalin,EC (Emülsiye Olabilen Konsantre)
ASTRAGİL (İMAL),50 g/l Quizalofop-p-ethyl,EC (Emülsiye Olabilen Konsantre)
KORUMA FALTAN® 50 FL (İMAL),500 g/l Folpet,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KORITUS (İMAL),%50 Cyprodinil,WG (Suda Dağılabilen Granül)
EFDAL DIESTER 480 EC (İMAL),"480 g/l 2,4-D asite eşdeğer Isooctylester",EC (Emülsiye Olabilen Konsantre)
AGRONOM GIBBEST 31 SP (İMAL),"%3,1 Gibberellic Acid",SP (Suda Çözünen Toz)
ANCORA 5 EC (İMAL),50 g/l Lambda-cyhalothrin,EC (Emülsiye Olabilen Konsantre)
EFDAL TEBUZOL 25 WP (İMAL),%25 Tebuconazole,WP (Islanabilir Toz)
EFDAL TEBUZOL 2 DS (İMAL),%2 Tebuconazole,DS (Kuru Tohum İlacı)
TEBUJİ® 060 FS (İMAL),60 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
KORPOLLO 500 SC (İMAL),500 g/l Clofentezine,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EFDAL HEKZARUN 50 EC (İMAL),50 g/l Hexythiazox,EC (Emülsiye Olabilen Konsantre)
TAMIFUME 690 (İTHAL),690 g/l Metam Potassium,SL (Suda Çözünen Konsantre)
EFDAL LAMTORİN 5 EC (İMAL),50 g/l Lambda-cyhalothrin,EC (Emülsiye Olabilen Konsantre)
BLUE CUP SC (İMAL),"357,5 g/l Metalik bakıra eşdeğer bakır oksiklorid",SC (Akıcı Konsantre/Süspansiyon Konsantre)
PRAHAARI (İMAL),300 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BAYTORE 40 SL (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre)
AGROCARB 50 WG (İMAL),%50 Pirimicarb,WP (Islanabilir Toz)
AGRİ CAPTAN 50 WP (İMAL),%50 Captan,WP (Islanabilir Toz)
FLEXİTY (İMAL),100 g/l Fluquinconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PENALTİN EC 40 (İMAL),40 g/l Quizalofop-p-tefuryl,EC (Emülsiye Olabilen Konsantre)
QUADRİS MAXX (İTHAL),200 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
"DECİBEL EC 2,5 (İMAL)",25 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre)
REMEDİER® (İTHAL),10 üzeri 8 cfu/g + Trichoderma aspellerum ırk ICC 012 ve Trichoderma gamsii ırk ICC 080,WP (Islanabilir Toz)
EFDAL MECTİN 18 EC (İMAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre)
KORMİCARB 50 WP (İMAL),%50 Pirimicarb,WP (Islanabilir Toz)
GEVEN M (İMAL),340 g/l MCPA + 80 g/l Dicamba,SL (Suda Çözünen Konsantre)
EPHTAL 48 SL (İMAL),480 g/l Ethephon,SL (Suda Çözünen Konsantre)
MAGNOLIA SUPER (İMAL),"344 g/l 2,4-D asite eşdeğer dimethyl amonyum tuzu + 120 g/l Dicamba",SL (Suda Çözünen Konsantre)
SELECRON 240 EC (İMAL),240 g/l Clethodim,EC (Emülsiye Olabilen Konsantre)
BONANZA (İMAL),%50 Azimsulfuron,WG (Suda Dağılabilen Granül)
CALLOTRİNE (İMAL),480 g/l Mesotrione,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ABONE SÜPER 5 EC (İMAL),50 g/l Quizalofop-p-ethyl,EC (Emülsiye Olabilen Konsantre)
RONSHALL (İMAL),200 g/l Esfenvalerate,EC (Emülsiye Olabilen Konsantre)
EFDAL AFİTRİD 20 SP (İMAL),%20 Acetamiprid,SP (Suda Çözünen Toz)
EFDAL PİRDEN 20 WP (İMAL),%20 Pyridaben,WP (Islanabilir Toz)
SEZOX (İMAL),50 g/l Fenpyroximate,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TALENT 240 EC (İMAL),240 g/l Clethodim,EC (Emülsiye Olabilen Konsantre)
WİTA- ACUMİNATUS (İTHAL),50 mg Cis- verbenol + 50 mg Ipsdienol + 50 mg Ipsenol / dispenser + 3 Hunili Tuzak,--- (-)
EXTRALİN (İMAL),480 g/l Ethephon + 60 g/l Cyclanilide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PİRİCARB 50 WG (İMAL),%50 Pirimicarb,WG (Suda Dağılabilen Granül)
ALCINE 33 EC (İMAL),330 g/l Pendimethalin,EC (Emülsiye Olabilen Konsantre)
BANKER 25 EC (İMAL),250 g/l Difenoconazole,EC (Emülsiye Olabilen Konsantre)
B-KATRİNA 50 SC (İMAL),50 g/l Deltamethrin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BLANC 50 WP (İMAL),%50 Pirimicarb,WP (Islanabilir Toz)
SUPERGUARD 100 EC (İMAL),100 g/l Alpha-cypermethrin,EC (Emülsiye Olabilen Konsantre)
KORMİC 2 F (İMAL),240 g/l Tebufenozide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ENİDOD 72 SL (İMAL),720 g/l Ethephon,SL (Suda Çözünen Konsantre)
TERSA 5 SC (İMAL),50 g/l Deltamethrin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TERSA 25 EC (İMAL),25 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre)
VOLİTAN SÜPER (İMAL),245 g/l Myclobutanil,EC (Emülsiye Olabilen Konsantre)
AGRİBAKIR 50 WP (İMAL),%50 Metalik bakıra eşdeğer bakır oksiklorid,WP (Islanabilir Toz)
AGRİ GİBB (İMAL),20 g/l Gibberellic acid,SL (Suda Çözünen Konsantre)
HOOK 50 EC (İMAL),500 g/l Imazalil,EC (Emülsiye Olabilen Konsantre)
EFDAL ESFARA 50 EC (İMAL),50 g/l Esfenvalerate,EC (Emülsiye Olabilen Konsantre)
MOSTLEND 20 SP (İMAL),%20 Acetamiprid,SP (Suda Çözünen Toz)
BACARA 40 WP (İMAL),%40 Iminoctadine tris (albesilate),WP (Islanabilir Toz)
LAVANTE 20 WP (İMAL),%20 Pyridaben,WP (Islanabilir Toz)
ERPLANT 100 EC (İMAL),100 g/l Penconazole,EC (Emülsiye Olabilen Konsantre)
HOMEROS 5 EC (İMAL),50 g/l Esfenvalerate,EC (Emülsiye Olabilen Konsantre)
AGROTAC 100 EC (İMAL),100 g/l Alpha-cypermethrin,EC (Emülsiye Olabilen Konsantre)
MEDGİBB (İMAL),20 g/l Gibberellic acid,SL (Suda Çözünen Konsantre)
BELİCO 40 WP (İMAL),%40 Iminoctadine tris (albesilate),WP (Islanabilir Toz)
EFDAL DONAZOL 250 EC (İMAL),250 g/l Difenoconazole,EC (Emülsiye Olabilen Konsantre)
THIO 80 WG (İMAL),%80 Kükürt,WG (Suda Dağılabilen Granül)
AGNOROUND (İMAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre)
AGRİCYPETHRİN 250 EC (İMAL),250 g/l Cypermethrin,EC (Emülsiye Olabilen Konsantre)
ENİDOD 48 SL (İMAL),480 g/l Ethephon,SL (Suda Çözünen Konsantre)
EPHTAL 72 SL (İMAL),720 g/l Ethephon,SL (Suda Çözünen Konsantre)
EFDAL ISOFOSAT 48 SL (İMAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre)
EFDAL BLUEGIB 20 SL (İMAL),20 g/l Gibberellic acid,SL (Suda Çözünen Konsantre)
EFDAL DELMETRİN® 25 EC (İMAL),25 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre)
PALISADE 250 EC (İTHAL),250 g/l Trinexapac-ethyl,EC (Emülsiye Olabilen Konsantre)
DECTATORE (İMAL),125 g/l Flutriafol,SC (Akıcı Konsantre/Süspansiyon Konsantre)
STOMMİN 330 E (İMAL),330 g/l Pendimethalin,EC (Emülsiye Olabilen Konsantre)
WESTGiBB 20 SL (İMAL),20 g/l Gibberellic acid,SL (Suda Çözünen Konsantre)
VEFMECTİN 1.8 EC (İMAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre)
EFDAL PENALİN 330 EC (İMAL),330 g/l Pendimethalin,EC (Emülsiye Olabilen Konsantre)
RITREAP % 5 EW (İTHAL),"51,3 g/l Cyflufenamid","EW (Emülsiyon, Suda Yağ)"
ACTİVİZİM 50 EC (İMAL),500 g/l Pirimiphos methyl,EC (Emülsiye Olabilen Konsantre)
HOMEROS 20 EC (İMAL),200 g/l Esfenvalerate,EC (Emülsiye Olabilen Konsantre)
GROMSTOR (İMAL),%75 Tribenuron-methyl,DF (Kuru Akışkan)
PLANVETO MAX (İTHAL),"%74,8 Glyphosate Ammonium Tuzu",SG (Suda Çözünen Granül)
POLİNOX WG (İMAL),"%57 Metiram + %4,8 Cymoxanil",WG (Suda Dağılabilen Granül)
EFDAL ALFATRİN 100 EC (İMAL),100 g/l Alpha-cypermethrin,EC (Emülsiye Olabilen Konsantre)
EFDAL DİMETRİN (İMAL),"500 g/l 2,4-D asite eşdeğer dimethyl amin tuzu",SL (Suda Çözünen Konsantre)
AVUPORT 80 WP (İMAL),%80 Lenacil,WP (Islanabilir Toz)
ACENTE 1.8 EC (İMAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre)
PARADISE 5 EC (İMAL),50 g/l Hexythiazox,EC (Emülsiye Olabilen Konsantre)
RESORT 33 EC (İMAL),330 g/l Pendimethalin,EC (Emülsiye Olabilen Konsantre)
ENSTAR SC 500 (İMAL),500 g/l Fenhexamid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
COCKPİT 50 WP (İMAL),%50 Metalik bakıra eşdeğer bakır oksiklorid,WP (Islanabilir Toz)
KORPREX® 500 SC (İMAL),500 g/l Dodine,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AGROFARM OPRON YAZLIK YAĞ (İMAL),850 g/l Mineral Yağ,EC (Emülsiye Olabilen Konsantre)
AGSHİNE 50 WG (İMAL),%50 Cyprodinil,WG (Suda Dağılabilen Granül)
AGROMARK 10 EC (İMAL),100 g/l Tetraconazole,EC (Emülsiye Olabilen Konsantre)
FLEXSTAR (İMAL),100 g/l Fluquinconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AGROLOUD (İMAL),400 g/l Buprofezin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
GEMINI 200 SL (İMAL),200 g/l Acetamiprid,SL (Suda Çözünen Konsantre)
SHANDONG 240 EC (İMAL),240 g/l Clodinafop-propargyl + 60 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre)
SEMES 50 WP (İMAL),%50 Tolclofos-methyl,WP (Islanabilir Toz)
VOYAGE 50 WP (İMAL),%50 Cymoxanil,WP (Islanabilir Toz)
COSTAR (İMAL),50 g/l Fenpyroximate,SC (Akıcı Konsantre/Süspansiyon Konsantre)
NEWPORT 50 EC (İTHAL),50 g/l Lambda-cyhalothrin,EC (Emülsiye Olabilen Konsantre)
LİVERON SUPER (İMAL),150 g/l Teflubenzuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FRUITGARD-70 (T) (İTHAL),140 g/l Thiabendazole + 100 g/l Imazalil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CLİMAXER 48 SC (İMAL),480 g/l Diflubenzuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AGROFİX (İMAL),50 g/l Mepiquat Chloride,SL (Suda Çözünen Konsantre)
GRANDSLAM (İMAL),%75 Tribenuron-methyl,DF (Kuru Akışkan)
GEMINI 20 SP (İMAL),%20 Acetamiprid,SP (Suda Çözünen Toz)
SAMBA 10 SC (İMAL),110 g/l Etoxazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ZORBA 10 SC (İMAL),110 g/l Etoxazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TAPSO 50 WP (İMAL),%50 Tolclofos-methyl,WP (Islanabilir Toz)
FİLİNTA WG 50 (İMAL),%50 Trifloxystrobin,WG (Suda Dağılabilen Granül)
COSAVET (İTHAL),%80 Kükürt,WG (Suda Dağılabilen Granül)
TOMQUIN 200 SC (İMAL),200 g/l Fenazaquin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
NEMCİD 45 EC (İMAL),450 g/l Prochloraz,EC (Emülsiye Olabilen Konsantre)
PRINTY 50 WP (İMAL),%50 Tolclofos-methyl,WP (Islanabilir Toz)
TOMBEL 200 SC (İMAL),200 g/l Fenazaquin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
HARROW (İMAL),"31,15 g/l Haloxyfop-P-methyl ester",EC (Emülsiye Olabilen Konsantre)
DELEGATE 250 WG (İTHAL),%25 Spinetoram,WG (Suda Dağılabilen Granül)
AGROV-GİBB % 40 WSG (İMAL),%40 Gibberellic Acid,WG (Suda Dağılabilen Granül)
CORVETTE (İMAL),"452,42 g/l 2,4-D 2-Ethylhexyl ester + 6,25 g/l Florasulam",SE (Suspo-Emülsiyon)
THANKER 200 EC (İMAL),200 g/l Cyhalofop-butyl,EC (Emülsiye Olabilen Konsantre)
SELDONY 20 WP (İMAL),%20 Tebufenpyrad,WP (Islanabilir Toz)
HAK BORDO WP (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Islanabilir Toz)
LUGAR (İMAL),200 g/l Cyhalofop-butyl,EC (Emülsiye Olabilen Konsantre)
NOPEST SUPER (İMAL),150 g/l Teflubenzuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PLANVETO 48 SL (İMAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre)
FLOTROBİN WG 50 (İMAL),%50 Trifloxystrobin,WG (Suda Dağılabilen Granül)
GÖKER CAPTAN 50 WP (İMAL),%50 Captan,WP (Islanabilir Toz)
CALDOR SC 500 (İMAL),500 g/l Fenhexamid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
METRO BLUE BORDOMİX (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Islanabilir Toz)
GREEN UP (İMAL),480 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre)
NEVİGATÖR (İMAL),%75 Sulfosulfuron,WG (Suda Dağılabilen Granül)
POLYCUP BLUE (İMAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Islanabilir Toz)
"PREDATOR 2,5 EC (İMAL)",25 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre)
KALFO 50 EC (İMAL),500 g/l Imazalil,EC (Emülsiye Olabilen Konsantre)
RAINCALL SC (İMAL),50 g/l Fenpyroximate,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KORFEZİN 400 SC (İMAL),400 g/l Buprofezin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AKARMİN 1.8 EC (İMAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre)
BENPELLE M 60 (İMAL),400 g/l Bentazone + 60 g/l MCPA,SL (Suda Çözünen Konsantre)
ARMAZA S GOLD (İMAL),915 g/l S-Metolachlor + 45 g/l Benoxacor (safener),EC (Emülsiye Olabilen Konsantre)
MENTHİRAM 80 WP (İMAL),%80 Thiram,WP (Islanabilir Toz)
MONCUT 40 SC (İTHAL),464 g/l Flutolanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CARDOSSO 250 EC (İMAL),250 g/l Cypermethrin,EC (Emülsiye Olabilen Konsantre)
HAWK 25 EC (İMAL),25 g/l Beta-cyfluthrin,EC (Emülsiye Olabilen Konsantre)
KURMUZİNE 70 WP (İMAL),%70 Metribuzin,WP (Islanabilir Toz)
KURMUZİNE 70 WG (İTHAL),%70 Metribuzin,WG (Suda Dağılabilen Granül)
LONRİCE MET (İMAL),"%8,25 Bensulfuron-methyl + %1,75 Metsulfuron-methyl",WP (Islanabilir Toz)
PİTBULL SC 125 (İMAL),125 g/l Beta-cyfluthrin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KİLLON 200 EC (İMAL),200 g/l Cyhalofop-butyl,EC (Emülsiye Olabilen Konsantre)
VOLIAM TARGO 063 SC (İTHAL),45 g/l Chlorantraniliprole + 18 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
